Model 1,,Model 2,,Model 3,
X,Y,X,Y,X,Y
0.5811843464017377,0.37739934131423514,0.7873645977993813,0.0008682105703385901,,
0.5838108464195422,0.3666027497516861,0.7926175978349903,0.006266506351613077,,
0.5864373464373465,0.3585053060797743,0.7965573478616967,0.010315228187569025,,
0.589063846455151,0.34770871451722535,0.8031235979062075,0.019087458832140025,,
0.5916903464729553,0.3369121229546763,0.8083765979418165,0.023810967640755187,,
0.5943168464907596,0.3288146792827646,0.8123163479685229,0.027859689476711136,,
0.5969433465085641,0.31801808772021556,0.8215090980308384,0.03865628103926011,,
0.5995698465263684,0.3072214961576666,0.826762098066447,0.0440545768205346,,
0.6021963465441729,0.2991240524857548,0.8359548481287624,0.05350159443776503,,
0.6048228465619769,0.2883274609232058,0.8398945981554689,0.05889989021903952,,
0.6074493465797817,0.2775308693606568,0.8438343481821753,0.064298186000314,,
0.610075846597586,0.26943342568874507,0.8504005982266865,0.07374520361754433,,
0.6127023466153902,0.2586368341261961,0.855653598262295,0.08049307334413747,,
0.6153288466331945,0.2505393904542843,0.8661595983335126,0.09668796068796104,,
0.6179553466509988,0.23974279889173533,0.8700993483602191,0.10343583041455418,,
0.6205818466688036,0.23164535521982355,0.8753523483958281,0.1128828480317845,,
0.6232083466866079,0.22219833760259317,0.8779788484136324,0.11693156986774045,,
0.6258348467044121,0.21275131998536279,0.8806053484314367,0.12098029170369629,,
